"X","Y","Cluster","LocID"
-9,21,1,1
-3,21,1,2
3,21,1,3
9,21,1,4
-15,15,1,5
-9,15,2,6
-3,15,2,7
3,15,2,8
9,15,1,9
15,15,1,10
-21,9,2,11
-15,9,2,12
-9,9,2,13
-3,9,2,14
3,9,2,15
9,9,2,16
15,9,1,17
21,9,6,18
-27,3,2,19
-21,3,2,20
-15,3,2,21
-9,3,2,22
-3,3,3,23
3,3,3,24
9,3,3,25
15,3,0,26
21,3,6,27
-27,-3,5,28
-21,-3,4,29
-15,-3,4,30
-9,-3,4,31
-3,-3,3,32
3,-3,3,33
9,-3,3,34
15,-3,0,35
21,-3,6,36
-21,-9,5,37
-15,-9,4,38
-9,-9,4,39
-3,-9,4,40
3,-9,4,41
9,-9,4,42
15,-9,5,43
21,-9,6,44
-15,-15,5,45
-9,-15,5,46
-3,-15,4,47
3,-15,4,48
9,-15,5,49
15,-15,5,50
-9,-21,5,51
-3,-21,5,52
3,-21,5,53
9,-21,5,54
